condition,metric,n,mean,std
base,final_acc_avg,10,0.166666666667,0
base,final_acc_A,10,0.25,0
base,final_acc_B,10,0.25,0
base,final_acc_C,10,0,0
base,final_drift_kl,10,0,0
independent,final_acc_avg,10,1,0
independent,final_acc_A,10,1,0
independent,final_acc_B,10,1,0
independent,final_acc_C,10,1,0
independent,final_drift_kl,10,5.17964682579,1.22044460048
naive_stack,final_acc_avg,10,0.741666666667,0.0473038510165
naive_stack,final_acc_A,10,0.525,0.0790569415042
naive_stack,final_acc_B,10,0.7,0.105409255339
naive_stack,final_acc_C,10,1,0
naive_stack,average_retention,10,0.6125,0.0709557765247
naive_stack,return_to_base_gap,10,0.225,0.0790569415042
naive_stack,collateral,10,0.4625,0.132418738184
naive_stack,order_sensitivity,10,0.391666666667,0.0966251507274
naive_stack,final_drift_kl,10,15.2979013443,4.31784575858
naive_stack,paraphrase_consistency,10,0.883333343267,0.0805076554451
coeff_add,final_acc_avg,10,0.2,0.0582671582317
coeff_add,final_acc_A,10,0.275,0.141911553049
coeff_add,final_acc_B,10,0.175,0.120761472885
coeff_add,final_acc_C,10,0.15,0.129099444874
coeff_add,average_retention,10,0.225,0.0790569415042
coeff_add,return_to_base_gap,10,0.075,0.120761472885
coeff_add,collateral,10,0.125,0.102062072616
coeff_add,order_sensitivity,10,0,0
coeff_add,final_drift_kl,10,6.44567437172,1.28559917471
coeff_add,paraphrase_consistency,10,0.633333331347,0.19325030393
controller,final_acc_avg,10,0.533333333333,0.0805076485899
controller,final_acc_A,10,0.225,0.141911553049
controller,final_acc_B,10,0.375,0.242956328952
controller,final_acc_C,10,1,0
controller,average_retention,10,0.3,0.120761472885
controller,newest_alone_on_earlier,10,0.175,0.0874007373475
controller,return_to_base_gap,10,0.1,0.129099444874
controller,collateral,10,0.55,0.146723473847
controller,order_sensitivity,10,0.65,0.0765780486227
controller,final_drift_kl,10,4.94934191704,0.922017479833
controller,paraphrase_consistency,10,0.116666670144,0.125462112524
controller_anchor,final_acc_avg,10,0.45,0.0430331482912
controller_anchor,final_acc_A,10,0.175,0.168737139428
controller_anchor,final_acc_B,10,0.175,0.120761472885
controller_anchor,final_acc_C,10,1,0
controller_anchor,average_retention,10,0.175,0.0645497224368
controller_anchor,newest_alone_on_earlier,10,0.2,0.0874007373475
controller_anchor,return_to_base_gap,10,0.025,0.0790569415042
controller_anchor,collateral,10,0.55,0.0874007373475
controller_anchor,order_sensitivity,10,0.633333333333,0.0895806416478
controller_anchor,final_drift_kl,10,0.615404170752,0.129908889934
controller_anchor,paraphrase_consistency,10,0.0916666679084,0.0917087444258
controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
controller_routed,final_acc_A,10,0.975,0.0790569415042
controller_routed,final_acc_B,10,1,0
controller_routed,final_acc_C,10,0.975,0.0790569415042
controller_anchor_routed,final_acc_avg,10,0.983333333333,0.0351364184463
controller_anchor_routed,final_acc_A,10,0.95,0.105409255339
controller_anchor_routed,final_acc_B,10,1,0
controller_anchor_routed,final_acc_C,10,1,0
