arm,seed,acc_A,acc_B,acc_C,avg_retention,forgetting,drift_kl,rev_gap,collateral,order_sens,routed_avg
attn_k2,0,0.25,0.25,0.25,0.25,0.0,1.439,0.0,0.12,0.08,0.25
attn_k4,0,0.25,0.25,0.0,0.25,0.17,1.869,0.0,0.0,0.17,0.75
attn_k8,0,1.0,0.75,0.75,0.88,0.0,4.97,0.0,0.5,0.17,1.0
attn_k16,0,1.0,1.0,1.0,1.0,0.0,5.299,0.0,1.0,0.0,0.9167
mlp_k8,0,1.0,0.5,0.75,0.75,0.17,4.611,0.0,0.62,0.25,0.9167
early_k8,0,1.0,0.75,0.5,0.88,-0.08,3.862,0.0,0.62,0.17,1.0
late_k8,0,0.5,1.0,0.75,0.75,0.08,4.702,0.25,0.88,0.17,1.0
attn_k2,1,0.25,0.25,0.25,0.25,0.08,2.843,0.0,0.12,0.0,0.3333
attn_k4,1,0.5,0.25,0.25,0.38,0.08,6.333,0.0,0.25,0.25,0.5
attn_k8,1,0.25,0.75,0.75,0.5,0.33,4.252,0.0,0.5,0.25,1.0
attn_k16,1,1.0,1.0,1.0,1.0,0.0,4.686,0.0,0.75,0.0,1.0
mlp_k8,1,0.5,0.5,0.5,0.5,0.25,5.281,0.0,0.38,0.25,0.9167
early_k8,1,1.0,0.75,0.75,0.88,0.0,3.258,0.0,0.75,0.25,1.0
late_k8,1,0.75,1.0,1.0,0.88,0.0,4.004,0.0,0.88,0.42,1.0
attn_k2,2,0.25,0.25,0.0,0.25,-0.08,0.891,0.0,0.0,0.0,0.1667
attn_k4,2,0.25,0.25,0.25,0.25,0.08,1.919,0.0,0.25,0.17,0.6667
attn_k8,2,0.75,0.75,0.75,0.75,0.17,2.366,0.0,0.62,0.25,1.0
attn_k16,2,1.0,1.0,1.0,1.0,0.0,4.242,0.25,0.88,0.0,1.0
mlp_k8,2,0.5,0.5,0.25,0.5,0.17,4.881,0.0,0.25,0.25,0.8333
early_k8,2,0.75,0.5,0.5,0.62,0.17,5.201,0.0,0.5,0.33,0.9167
late_k8,2,0.75,0.75,1.0,0.75,0.17,2.752,0.0,0.62,0.17,0.9167
