condition,metric,n,mean,std
hard_ortho;base,final_acc_avg,10,0.166666666667,0
hard_ortho;base,final_acc_A,10,0.25,0
hard_ortho;base,final_acc_B,10,0.25,0
hard_ortho;base,final_acc_C,10,0,0
hard_ortho;base,final_drift_kl,10,0,0
hard_ortho;controller,final_acc_avg,10,0.541666666667,0.0708197154666
hard_ortho;controller,final_acc_A,10,0.25,0
hard_ortho;controller,final_acc_B,10,0.375,0.2124591464
hard_ortho;controller,final_acc_C,10,1,0
hard_ortho;controller,average_retention,10,0.3125,0.1062295732
hard_ortho;controller,return_to_base_gap,10,0.025,0.0790569415042
hard_ortho;controller,collateral,10,0.6375,0.0922330984216
hard_ortho;controller,order_sensitivity,10,0.616666666667,0.0895806416478
hard_ortho;controller,final_drift_kl,10,4.92256689072,0.469096035439
hard_ortho;controller,paraphrase_consistency,10,0,0
hard_ortho;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
hard_ortho;controller_routed,final_acc_A,10,0.975,0.0790569415042
hard_ortho;controller_routed,final_acc_B,10,1,0
hard_ortho;controller_routed,final_acc_C,10,0.975,0.0790569415042
k=16;base,final_acc_avg,10,0.166666666667,0
k=16;base,final_acc_A,10,0.25,0
k=16;base,final_acc_B,10,0.25,0
k=16;base,final_acc_C,10,0,0
k=16;base,final_drift_kl,10,0,0
k=16;coeff_add,final_acc_avg,10,0.15,0.0946077020329
k=16;coeff_add,final_acc_A,10,0.25,0.117851130198
k=16;coeff_add,final_acc_B,10,0.1,0.129099444874
k=16;coeff_add,final_acc_C,10,0.1,0.129099444874
k=16;coeff_add,average_retention,10,0.175,0.105409255339
k=16;coeff_add,return_to_base_gap,10,0.05,0.105409255339
k=16;coeff_add,collateral,10,0.0875,0.102909075294
k=16;coeff_add,order_sensitivity,10,0,0
k=16;coeff_add,final_drift_kl,10,5.96334004402,1.01691083806
k=16;coeff_add,paraphrase_consistency,10,0,0
k=16;controller,final_acc_avg,10,0.475,0.0882791587893
k=16;controller,final_acc_A,10,0.1,0.129099444874
k=16;controller,final_acc_B,10,0.325,0.205818150587
k=16;controller,final_acc_C,10,1,0
k=16;controller,average_retention,10,0.2125,0.132418738184
k=16;controller,return_to_base_gap,10,0,0
k=16;controller,collateral,10,0.5125,0.137563116827
k=16;controller,order_sensitivity,10,0.716666666667,0.0895806416478
k=16;controller,final_drift_kl,10,4.95585393906,1.18660455068
k=16;controller,paraphrase_consistency,10,0,0
k=16;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
k=16;controller_routed,final_acc_A,10,0.95,0.105409255339
k=16;controller_routed,final_acc_B,10,1,0
k=16;controller_routed,final_acc_C,10,1,0
k=16;independent,final_acc_avg,10,1,0
k=16;independent,final_acc_A,10,1,0
k=16;independent,final_acc_B,10,1,0
k=16;independent,final_acc_C,10,1,0
k=16;independent,final_drift_kl,10,4.44340400696,0.593665454976
k=16;naive_stack,final_acc_avg,10,0.775,0.0686060501957
k=16;naive_stack,final_acc_A,10,0.6,0.174801474695
k=16;naive_stack,final_acc_B,10,0.725,0.0790569415042
k=16;naive_stack,final_acc_C,10,1,0
k=16;naive_stack,average_retention,10,0.6625,0.102909075294
k=16;naive_stack,return_to_base_gap,10,0.225,0.0790569415042
k=16;naive_stack,collateral,10,0.475,0.114867072934
k=16;naive_stack,order_sensitivity,10,0.341666666667,0.12699032723
k=16;naive_stack,final_drift_kl,10,15.3376130104,4.19007911949
k=16;naive_stack,paraphrase_consistency,10,0,0
k=32;base,final_acc_avg,10,0.166666666667,0
k=32;base,final_acc_A,10,0.25,0
k=32;base,final_acc_B,10,0.25,0
k=32;base,final_acc_C,10,0,0
k=32;base,final_drift_kl,10,0,0
k=32;coeff_add,final_acc_avg,10,0.175,0.0917087445512
k=32;coeff_add,final_acc_A,10,0.25,0.117851130198
k=32;coeff_add,final_acc_B,10,0.125,0.131761569174
k=32;coeff_add,final_acc_C,10,0.15,0.129099444874
k=32;coeff_add,average_retention,10,0.1875,0.0883883476483
k=32;coeff_add,return_to_base_gap,10,0.05,0.105409255339
k=32;coeff_add,collateral,10,0.15,0.0986013297183
k=32;coeff_add,order_sensitivity,10,0,0
